MONTH,NUM_SUNSPOTS
1783.123,64.5
1783.204,44.5
1783.288,47.2
1783.371,38.3
1783.455,42
1783.538,53.7
1783.623,33.3
1783.707,30
1783.79,13.3
1783.874,25
1783.958,17.5
1784.042,21.7
1784.124,13.3
1784.206,18.3
1784.29,16.7
1784.373,10
1784.456,15
1784.54,10
1784.624,16.7
1784.708,16.7
1784.791,13.3
1784.874,28.3
1784.958,23.3
1785.042,10.8
1785.123,13.3
1785.204,15
1785.288,26.2
1785.371,34.5
1785.455,43.8
1785.538,60.5
1785.623,33.3
1785.707,53.3
1785.79,78.7
1785.874,67
1785.958,45.5
1786.042,62
1786.123,79.3
1786.204,79.5
1786.288,142.3
1786.371,153.8
1786.455,98.3
1786.538,138.3
1786.623,149.5
1786.707,185.8
1786.79,187.2
1786.874,193.3
1786.958,187.8
1787.042,224.5
1787.123,176.7
1787.204,145.7
1787.288,212
1787.371,224.7
1787.455,165.3
1787.538,213.3
1787.623,228.7
1787.707,262.2
1787.79,261.7
1787.874,235.8
1787.958,290
1788.042,230
1788.124,215.3
1788.206,238.8
1788.29,180.8
1788.373,188.3
1788.456,257
1788.54,235.8
1788.624,226.7
1788.708,235
1788.791,236.7
1788.874,157.8
1788.958,215.8
1789.042,190
1789.123,208.8
1789.204,200
1789.288,205.5
1789.371,205.8
1789.455,200
1789.538,195
1789.623,171.7
1789.707,186.7
1789.79,149.5
1789.874,223.3
1789.958,225.8
1790.042,171.7
1790.123,212.5
1790.204,160.5
1790.288,156.7
1790.371,155
1790.455,151.7
1790.538,115.5
1790.623,145
1790.707,128.8
1790.79,140.5
1790.874,136.7
1790.958,123.3
1791.042,121.2
1791.123,103.3
1791.204,123.3
1791.288,128.7
1791.371,122.8
1791.455,107
1791.538,118.3
1791.623,71.7
1791.707,110.8
1791.79,102.8
1791.874,111.7
1791.958,110
1792.042,96.7
1792.124,106.7
1792.206,105
1792.29,126.2
1792.373,103.3
1792.456,101.7
1792.54,76.3
1792.624,100
1792.708,98.3
1792.791,98.3
1792.874,95
1792.958,93.3
1793.042,93.3
1793.123,91.7
1793.204,92.5
1793.288,88.3
1793.371,87.2
1793.455,85
1793.538,83.3
1793.623,48.8
1793.707,40
1793.79,78.3
1793.874,73.3
1793.958,76.2
1794.042,75
1794.123,73.3
1794.204,63.3
1794.288,47.3
1794.371,92.8
1794.455,69.2
1794.538,68.3
1794.623,66.7
1794.707,18.5
1794.79,47.5
1794.874,112.3
1794.958,85.7
1795.042,35.7
1795.123,66.5
1795.204,21
1795.288,31
1795.371,51.7
1795.455,28.5
1795.538,21.5
1795.623,42.8
1795.707,22.5
1795.79,32.5
1795.874,41.7
1795.958,30
1796.042,36.7
1796.124,39.7
1796.206,26.2
1796.29,52.8
1796.373,35
1796.456,11.2
1796.54,44.8
1796.624,2.5
1796.708,30.7
1796.791,18.3
1796.874,14
1796.958,8.5
1797.042,24
1797.123,7
1797.204,6.7
1797.288,6.7
1797.371,12.2
1797.455,18.5
1797.538,7.2
1797.623,10
1797.707,9.5
1797.79,11.5
1797.874,9.7
1797.958,5
1798.042,3.3
1798.123,6.7
1798.204,20.7
1798.288,1.8
1798.371,0
1798.455,0
1798.538,0
1798.623,5
1798.707,4
1798.79,2.5
1798.874,20.8
1798.958,16.5
1799.042,2.7
1799.123,21
1799.204,36.2
1799.288,14
1799.371,13.7
1799.455,17.7
1799.538,3.5
1799.623,0
1799.707,0
1799.79,7.7
1799.874,4.5
1799.958,14.3
1800.042,11.5
1800.123,15.5
1800.204,23.2
1800.288,0
1800.371,8.3
1800.455,39.5
1800.538,35
1800.623,32.5
1800.707,19.2
1800.79,20.5
1800.874,17.5
1800.958,66.8
1801.042,45
1801.123,48.3
1801.204,50
1801.288,51.7
1801.371,53.3
1801.455,52
1801.538,58.3
1801.623,64.5
1801.707,55.8
1801.79,54.3
1801.874,66.3
1801.958,80.3
1802.042,79.7
1802.123,78.3
1802.204,68
1802.288,70
1802.371,73.3
1802.455,76.7
1802.538,80
1802.623,83.3
1802.707,86.3
1802.79,64.2
1802.874,57.5
1802.958,83.3
1803.042,83.3
1803.123,84.7
1803.204,49.2
1803.288,41.7
1803.371,73.8
1803.455,60
1803.538,80.5
1803.623,56.8
1803.707,75.5
1803.79,90.5
1803.874,85
1803.958,80
1804.042,75.5
1804.124,80.5
1804.206,80
1804.29,84.3
1804.373,55.7
1804.456,58
1804.54,49.7
1804.624,71.8
1804.708,88.3
1804.791,103.8
1804.874,101.7
1804.958,100
1805.042,101.7
1805.123,73.5
1805.204,85.7
1805.288,62.5
1805.371,65
1805.455,67.5
1805.538,62.7
1805.623,71.2
1805.707,74
1805.79,49
1805.874,68.3
1805.958,63.8
1806.042,65
1806.123,49.3
1806.204,54.5
1806.288,46.2
1806.371,44
1806.455,42.7
1806.538,50
1806.623,43.8
1806.707,40
1806.79,45
1806.874,41.7
1806.958,40
1807.042,20
1807.123,20.3
1807.204,16
1807.288,39.7
1807.371,16.7
1807.455,20
1807.538,21.2
1807.623,20
1807.707,9.5
1807.79,13.3
1807.874,4.3
1807.958,0
1808.042,0
1808.124,7.5
1808.206,0
1808.29,20.5
1808.373,22.5
1808.456,22.5
1808.54,11.2
1808.624,13.3
1808.708,19.5
1808.791,7.8
1808.874,17.5
1808.958,20.5
1809.042,12
1809.123,15.3
1809.204,1.5
1809.288,4.2
1809.371,3.3
1809.455,12.8
1809.538,0.5
1809.623,0.3
1809.707,0.7
1809.79,0
1809.874,0
1809.958,0
1810.042,0
1810.123,0
1810.204,0
1810.288,0
1810.371,0
1810.455,0
1810.538,0
1810.623,0
1810.707,0
1810.79,0
1810.874,0
1810.958,0
1811.042,0
1811.123,0
1811.204,0
1811.288,0
1811.371,0
1811.455,0
1811.538,11
1811.623,0
1811.707,4
1811.79,10.2
1811.874,1.3
1811.958,1.8
1812.042,18.8
1812.124,3.2
1812.206,1.2
1812.29,0
1812.373,1.7
1812.456,2.2
1812.54,0.8
1812.624,26
1812.708,8.7
1812.791,6.5
1812.874,13.2
1812.958,16.8
1813.042,0
1813.123,17.2
1813.204,3.2
1813.288,27.7
1813.371,9.2
1813.455,18.7
1813.538,30.5
1813.623,14
1813.707,25.5
1813.79,46.3
1813.874,27.8
1813.958,23.8
1814.042,37
1814.123,20
1814.204,9.5
1814.288,39.7
1814.371,9.7
1814.455,24.8
1814.538,30.8
1814.623,3.8
1814.707,13.5
1814.79,32.2
1814.874,24.2
1814.958,33.5
1815.042,32
1815.123,53.7
1815.204,43.7
1815.288,52.7
1815.371,16.3
1815.455,93.2
1815.538,59.2
1815.623,78.7
1815.707,52.5
1815.79,55.8
1815.874,62
1815.958,108.3
1816.042,43.8
1816.124,114.7
1816.206,122.8
1816.29,98
1816.373,73.8
1816.456,72.7
1816.54,64.7
1816.624,38.7
1816.708,79.7
1816.791,94
1816.874,63.5
1816.958,49.8
1817.042,60.7
1817.123,96.5
1817.204,160.3
1817.288,44
1817.371,35.3
1817.455,66.7
1817.538,83.3
1817.623,75
1817.707,61.2
1817.79,42.7
1817.874,48.2
1817.958,47.3
1818.042,58.1
1818.123,37.4
1818.204,42.4
1818.288,57.5
1818.371,88.5
1818.455,60.8
1818.538,46.8
1818.623,52.6
1818.707,43.4
1818.79,52.8
1818.874,18.3
1818.958,43
1819.042,54.7
1819.123,34.6
1819.204,6.3
1819.288,33.7
1819.371,32.6
1819.455,58.3
1819.538,52.5
1819.623,43.5
1819.707,24.8
1819.79,45.9
1819.874,41.8
1819.958,50.9
1820.042,32
1820.124,44.4
1820.206,7.5
1820.29,32.3
1820.373,48.9
1820.456,17.9
1820.54,34.1
1820.624,43.1
1820.708,8.6
1820.791,14.9
1820.874,13.2
1820.958,15.1
1821.042,36
1821.123,7
1821.204,9.5
1821.288,15.2
1821.371,2.8
1821.455,3
1821.538,4.3
1821.623,8
1821.707,7.3
1821.79,31.4
1821.874,7.3
1821.958,0.4
1822.042,0
1822.123,1.5
1822.204,26.9
1822.288,21.7
1822.371,2.4
1822.455,9.3
1822.538,13.2
1822.623,3.4
1822.707,0
1822.79,0.6
1822.874,0
1822.958,0
1823.042,0
1823.123,0
1823.204,1
1823.288,0
1823.371,0
1823.455,0
1823.538,0.8
1823.623,0
1823.707,0
1823.79,0
1823.874,0
1823.958,34
1824.042,36
1824.124,18
1824.206,0
1824.29,32.3
1824.373,4.6
1824.456,0
1824.54,0
1824.624,2.3
1824.708,34.3
1824.791,42
1824.874,0
1824.958,1.4
1825.042,8.4
1825.123,25.9
1825.204,37.4
1825.288,6.2
1825.371,25.8
1825.455,25.6
1825.538,51.5
1825.623,42.8
1825.707,26.2
1825.79,26
1825.874,19.6
1825.958,36.7
1826.042,29.4
1826.123,30.2
1826.204,61.3
1826.288,40
1826.371,53.9
1826.455,61.7
1826.538,87.5
1826.623,66
1826.707,31.6
1826.79,84.4
1826.874,65.8
1826.958,113.6
1827.042,57.7
1827.123,79
1827.204,96.3
1827.288,76.7
1827.371,93.8
1827.455,94.4
1827.538,70.4
1827.623,89.4
1827.707,82.6
1827.79,93.5
1827.874,80.4
1827.958,76.8
1828.042,88
1828.124,107.3
1828.206,108.5
1828.29,101.9
1828.373,148.6
1828.456,163.4
1828.54,90.4
1828.624,127.3
1828.708,83.9
1828.791,91.1
1828.874,95
1828.958,78.1
1829.042,71.6
1829.123,82.3
1829.204,120.6
1829.288,158.4
1829.371,112.3
1829.455,123.2
1829.538,151.5
1829.623,129.3
1829.707,88
1829.79,95.3
1829.874,112.7
1829.958,94.1
1830.042,87
1830.123,120.1
1830.204,141
1830.288,177.3
1830.371,110.5
1830.455,108.4
1830.538,73.2
1830.623,84.6
1830.707,103.4
1830.79,140.6
1830.874,135.4
1830.958,136.8
1831.042,79
1831.123,83.6
1831.204,155.8
1831.288,90.9
1831.371,63.4
1831.455,55.6
1831.538,75.4
1831.623,91.6
1831.707,63.2
1831.79,77.1
1831.874,72.5
1831.958,48.3
1832.042,51.5
1832.124,92.6
1832.206,91.9
1832.29,44.8
1832.373,68.9
1832.456,44.5
1832.54,23.3
1832.624,14.8
1832.708,13.7
1832.791,35.2
1832.874,23.8
1832.958,45.8
1833.042,18.7
1833.123,24.9
1833.204,19.6
1833.288,4.6
1833.371,21.5
1833.455,1.7
1833.538,11.6
1833.623,9.5
1833.707,19.3
1833.79,12.5
1833.874,9.8
1833.958,16.6
1834.042,8.2
1834.123,30.1
1834.204,6.5
1834.288,2.4
1834.371,14.8
1834.455,13.1
1834.538,14.4
1834.623,6.6
1834.707,19.2
1834.79,41.3
1834.874,50.9
1834.958,57.5
1835.042,12.4
1835.123,40.7
1835.204,32.7
1835.288,102.4
1835.371,72.6
1835.455,55.2
1835.538,99.6
1835.623,98.5
1835.707,168
1835.79,158.6
1835.874,166.7
1835.958,129.3
1836.042,147.6
1836.124,179.4
1836.206,163.7
1836.29,238
1836.373,185.7
1836.456,207.9
1836.54,194.6
1836.624,179.6
1836.708,158.5
1836.791,228.9
1836.874,201.5
1836.958,343.8
1837.042,313.4
1837.123,292.6
1837.204,224.3
1837.288,230.3
1837.371,186.1
1837.455,263.4
1837.538,271.2
1837.623,223.5
1837.707,160.4
1837.79,206.2
1837.874,178.4
1837.958,216.1
1838.042,241.5
1838.123,141.3
1838.204,234.5
1838.288,211.1
1838.371,229.4
1838.455,157.6
1838.538,180.4
1838.623,131.3
1838.707,122.7
1838.79,151.5
1838.874,129.2
1838.958,132.9
1839.042,175.9
1839.123,170.8
1839.204,129.5
1839.288,102.9
1839.371,89.6
1839.455,91.2
1839.538,141.3
1839.623,218.8
1839.707,221.1
1839.79,151.5
1839.874,114.7
1839.958,106.2
1840.042,135.4
1840.124,146.1
1840.206,112.9
1840.29,109.8
1840.373,115.4
1840.456,80.9
1840.54,101
1840.624,96.4
1840.708,123.3
1840.791,91.7
1840.874,90.4
1840.958,89.5
1841.042,40.1
1841.123,49.9
1841.204,49.6
1841.288,66.9
1841.371,112.4
1841.455,92.8
1841.538,51.4
1841.623,65.4
1841.707,60.9
1841.79,47.4
1841.874,32.9
1841.958,64.8
1842.042,34
1842.123,36.8
1842.204,36.2
1842.288,44.9
1842.371,41.4
1842.455,34.2
1842.538,21
1842.623,44.4
1842.707,30.6
1842.79,63.5
1842.874,67.5
1842.958,29.3
1843.042,22.2
1843.123,5.9
1843.204,13.9
1843.288,15.8
1843.371,35.1
1843.455,17.6
1843.538,15.9
1843.623,19.6
1843.707,6.9
1843.79,8.9
1843.874,31.7
1843.958,21.2
1844.042,15.7
1844.124,24.5
1844.206,22.5
1844.29,34.6
1844.373,19.2
1844.456,6.2
1844.54,35.2
1844.624,39.7
1844.708,11.6
1844.791,35.9
1844.874,17.9
1844.958,36
1845.042,42.8
1845.123,72.8
1845.204,72.1
1845.288,95
1845.371,79.7
1845.455,51.8
1845.538,51
1845.623,53.9
1845.707,49.3
1845.79,67.8
1845.874,65.7
1845.958,99.5
1846.042,64.6
1846.123,84.9
1846.204,106.5
1846.288,115.5
1846.371,99.9
1846.455,108.4
1846.538,77.5
1846.623,91.3
1846.707,178.6
1846.79,93.4
1846.874,100.6
1846.958,109.1
1847.042,104.4
1847.123,74.9
1847.204,143
1847.288,74.6
1847.371,125.7
1847.455,142.2
1847.538,87.1
1847.623,234.3
1847.707,268.2
1847.79,300.6
1847.874,231.5
1847.958,182.6
1848.042,265.2
1848.124,186.4
1848.206,181.2
1848.29,178.6
1848.373,170.5
1848.456,214.9
1848.54,232
1848.624,220.9
1848.708,167.3
1848.791,220.6
1848.874,191
1848.958,265.8
1849.042,298.3
1849.123,250.3
1849.204,182.7
1849.288,194.7
1849.371,153.2
1849.455,154.2
1849.538,148.2
1849.623,128.6
1849.707,178
1849.79,135.7
1849.874,188.2
1849.958,184.3
1850.042,148.2
1850.123,169.8
1850.204,156.8
1850.288,83.8
1850.371,117
1850.455,133
1850.538,74.3
1850.623,117
1850.707,163.7
1850.79,134.9
1850.874,104.1
1850.958,115.9
1851.042,143.5
1851.123,200.1
1851.204,122.8
1851.288,107.3
1851.371,118.9
1851.455,120
1851.538,68.6
1851.623,109
1851.707,128.9
1851.79,118.7
1851.874,96.8
1851.958,135.5
1852.042,129.9
1852.124,126.2
1852.206,116.2
1852.29,124.3
1852.373,104.3
1852.456,89
1852.54,80
1852.624,75.3
1852.708,71.2
1852.791,127.9
1852.874,103.1
1852.958,86.1
1853.042,77.9
1853.123,81.5
1853.204,71.6
1853.288,90.4
1853.371,65.9
1853.455,76
1853.538,87.2
1853.623,95.8
1853.707,63.7
1853.79,80.5
1853.874,54.7
1853.958,44.5
1854.042,29.3
1854.123,38
1854.204,39.4
1854.288,50.3
1854.371,45.6
1854.455,40.1
1854.538,35.5
1854.623,30.1
1854.707,42.6
1854.79,24.1
1854.874,53.5
1854.958,41.1
1855.042,23.4
1855.123,21.6
1855.204,33
1855.288,8.4
1855.371,17.3
1855.455,10
1855.538,0.7
1855.623,5.9
1855.707,0
1855.79,18.3
1855.874,7.9
1855.958,5.8
1856.042,1
1856.124,9.3
1856.206,0.7
1856.29,12.4
1856.373,0
1856.456,9.8
1856.54,8.8
1856.624,11.3
1856.708,8.4
1856.791,8.5
1856.874,14.7
1856.958,13.7
1857.042,26
1857.123,14.2
1857.204,10
1857.288,21.1
1857.371,54.2
1857.455,30.5
1857.538,42.2
1857.623,32
1857.707,80.6
1857.79,77.1
1857.874,59.6
1857.958,70.7
1858.042,74.2
1858.123,66.3
1858.204,109.2
1858.288,72.8
1858.371,78.6
1858.455,84.5
1858.538,107.7
1858.623,104.9
1858.707,152.2
1858.79,173.2
1858.874,98.6
1858.958,127
1859.042,159
1859.123,166.4
1859.204,171.5
1859.288,162.9
1859.371,172.8
1859.455,165.2
1859.538,180.7
1859.623,203
1859.707,200.9
1859.79,217.8
1859.874,184.6
1859.958,153.9
1860.042,156.6
1860.124,167.9
1860.206,188
1860.29,135.7
1860.373,203.5
1860.456,206.3
1860.54,221.9
1860.624,190.5
1860.708,175.2
1860.791,171.1
1860.874,186
1860.958,181.7
1861.042,118.5
1861.123,147.5
1861.204,192
1861.288,187.1
1861.371,107.8
1861.455,167.5
1861.538,148.2
1861.623,156.7
1861.707,151.9
1861.79,127.7
1861.874,102
1861.958,152.8
1862.042,119.9
1862.123,122.4
1862.204,82.7
1862.288,102.1
1862.371,122.4
1862.455,159.7
1862.538,139.5
1862.623,118.7
1862.707,126.4
1862.79,79.8
1862.874,96
1862.958,77.6
1863.042,91.8
1863.123,107.7
1863.204,126
1863.288,77.1
1863.371,102.1
1863.455,77.6
1863.538,62
1863.623,91.3
1863.707,41.7
1863.79,75.7
1863.874,71.6
1863.958,78.1
1864.042,109.7
1864.124,89.5
1864.206,125.9
1864.29,68.1
1864.373,77.1
1864.456,109.9
1864.54,103.8
1864.624,104.1
1864.708,54.2
1864.791,64.4
1864.874,109.3
1864.958,54.3
1865.042,92.5
1865.123,74.6
1865.204,75
1865.288,55.9
1865.371,65.6
1865.455,63.8
1865.538,50.8
1865.623,71.8
1865.707,41
1865.79,32.5
1865.874,46.7
1865.958,24.3
1866.042,60
1866.123,72.9
1866.204,46.6
1866.288,33.5
1866.371,24.6
1866.455,31.4
1866.538,17.6
1866.623,24.2
1866.707,13.9
1866.79,26.8
1866.874,17.2
1866.958,2.9
1867.042,0
1867.123,1.4
1867.204,17.4
1867.288,9.7
1867.371,5.5
1867.455,2.8
1867.538,9.5
1867.623,9.1
1867.707,18.7
1867.79,25.5
1867.874,18.1
1867.958,47.9
1868.042,25.9
1868.124,26.3
1868.206,44
1868.29,61.1
1868.373,44.5
1868.456,51.8
1868.54,48.3
1868.624,57.3
1868.708,78.7
1868.791,102.8
1868.874,98.7
1868.958,112.8
1869.042,101.6
1869.123,99.9
1869.204,88
1869.288,68.4
1869.371,173.4
1869.455,180.7
1869.538,98.8
1869.623,132.7
1869.707,134.5
1869.79,99
1869.874,130.2
1869.958,174.1
1870.042,129
1870.123,191.7
1870.204,262.7
1870.288,266.9
1870.371,293.6
1870.455,226.3
1870.538,220.9
1870.623,256.5
1870.707,226.8
1870.79,244.3
1870.874,246
1870.958,216.7
1871.042,147.2
1871.123,209
1871.204,238.7
1871.288,270.9
1871.371,242.6
1871.455,152.9
1871.538,171.8
1871.623,183.7
1871.707,133.9
1871.79,148.5
1871.874,175.7
1871.958,150.8
1872.042,132.7
1872.124,200.3
1872.206,147.5
1872.29,170.4
1872.373,179.5
1872.456,183.3
1872.54,176
1872.624,155
1872.708,191.1
1872.791,171.2
1872.874,186.8
1872.958,139.9
1873.042,144.6
1873.123,178.4
1873.204,164
1873.288,127.1
1873.371,80
1873.455,74.8
1873.538,111.7
1873.623,113.8
1873.707,78.7
1873.79,78.6
1873.874,92.5
1873.958,82
1874.042,101.4
1874.123,107.1
1874.204,77.5
1874.288,53.5
1874.371,74.6
1874.455,63.8
1874.538,113.2
1874.623,102.3
1874.707,46.8
1874.79,57.4
1874.874,48.2
1874.958,48.8
1875.042,24.4
1875.123,35.9
1875.204,56.4
1875.288,48.6
1875.371,19.2
1875.455,39.9
1875.538,20.9
1875.623,24.4
1875.707,4
1875.79,21.3
1875.874,29.6
1875.958,16.5
1876.042,23.9
1876.124,25.1
1876.206,51.1
1876.29,3.9
1876.373,8.5
1876.456,2.7
1876.54,25.5
1876.624,14.8
1876.708,16.6
1876.791,23.9
1876.874,16.6
1876.958,13.6
1877.042,40.6
1877.123,14.5
1877.204,19.9
1877.288,26.3
1877.371,36.1
1877.455,23.6
1877.538,10
1877.623,10.5
1877.707,28.1
1877.79,11.2
1877.874,23.6
1877.958,3.5
1878.042,5.5
1878.123,11
1878.204,13.1
1878.288,0.2
1878.371,9.9
1878.455,10.7
1878.538,0.2
1878.623,0
1878.707,8.8
1878.79,1.9
1878.874,6.8
1878.958,0.9
1879.042,1.6
1879.123,0.9
1879.204,0
1879.288,10.4
1879.371,4
1879.455,8
1879.538,12.6
1879.623,17.9
1879.707,10.1
1879.79,20.4
1879.874,21.9
1879.958,12.2
1880.042,40.1
1880.124,45.4
1880.206,32.1
1880.29,32.4
1880.373,39.1
1880.456,56.9
1880.54,36.5
1880.624,80.3
1880.708,110.1
1880.791,71.7
1880.874,51.1
1880.958,49.4
1881.042,60.6
1881.123,88.6
1881.204,85.8
1881.288,86.1
1881.371,72.5
1881.455,100.8
1881.538,128.2
1881.623,97.3
1881.707,88.6
1881.79,107.3
1881.874,91.5
1881.958,78.8
1882.042,75
1882.123,115.9
1882.204,111.5
1882.288,159.6
1882.371,106.9
1882.455,75.4
1882.538,75.7
1882.623,67.5
1882.707,96.1
1882.79,98.6
1882.874,140.6
1882.958,69.7
1883.042,101
1883.123,78.2
1883.204,71.3
1883.288,136.8
1883.371,52.5
1883.455,127.2
1883.538,134.4
